quote_id,text,article_title,source,manual_score,notes
00oKUnNX6pR9JfPKHPY2,"dominance,"" Kim said, according to Russia",The Two-Way,NPR,,
04rsdfjpgvma3QwGUrCc,I'm talking about building a permanent place for them.,Trump says no right of return for Palestinians under Gaza plan,BBC,,
0F7VQ2jb9CdAcloLJwhr,"As atrocities continue to plague the globe affecting the lives of millions of innocent children, women and men, the Court has become indispensable,",ICC condemns sanctions by Trump administration and pledges to continue its work,AP News,,
0K2xFnSq3RyhNvdg3KOh,"He interpreted that as a sign that this person didn't take as much pride in his work as he should,",Trump ally Musk is remaking government - but will they clash?,Unknown Source,,
0YBR6bjPNO7sVA0wovPF,any country willing to accept them.,Europe,NPR,,
0pG1ixH8h5GLXpWkc9mz,any country willing to accept them.,NPRWorld,NPR,,
0qNt7wCJgKtO5UWKsoTl,significant number,Zelenskyy confirms a new Ukrainian offensive in Russia’s Kursk region,AP News,,
0uahVoRLNfIQealgVj1l,He never takes no for an answer.,Trump ally Musk is remaking government - but will they clash?,Unknown Source,,
0uyVSGFXX5qlwlMjCV3W,We will not only play the role of a constructive opposition but will also remain among the people and continue to serve them.,Modi’s party wins most seats in high-stakes New Delhi polls for first time in 27 years,AP News,,
0xLA5V4cBDtuRiWTqCRC,That was the nuance to it… but at the end of the day someone got fired because they admitted that their trash can was overflowing.,Trump ally Musk is remaking government - but will they clash?,Unknown Source,,
138LvF1DUV9liGQKT9cP,restore biological truth,Science,NPR,,
13wx67eBsvfZpSL2S94W,"We will have relations with North Korea, with Kim Jong Un. I got along with him very well, as you know. I think I stopped the war.",North Korea’s Kim slams US-South Korea-Japan partnership and vows to boost his nuclear program,AP News,,
13xNIaYGYAZFq3Q4l93e,"Not Like Us,",Culture,NPR,,
19P0UjIjEiN5X8l6BptJ,Golden Age in Arts and Culture.,Performing Arts,NPR,,
1A3Otc6vZVW7SomDByzz,"I think the trend will continue. Maybe it’ll slow down over the next four years … but it’s going to continue,",Trump is trying to halt the EV charger buildout. Experts say it’s not that easy,AP News,,
1Ba4wxs44WiKe5ON7gTQ,corruption.,An Albanian court orders the capital’s mayor into custody and accuses him of corruption,AP News,,
1CVQDrge0ctW5SMFqYC8,"realized that an immense mess was made,",International Criminal Court opens inquiry into Italy over release of Libyan warlord,AP News,,
1Fh8elNB9WaGLpMYBBov,"Paraguayans now vote for the party freely,","Paraguay’s disappeared: A dictator’s shadow is a roadblock for justice, but a few keep up the fight",AP News,,
1ME5o6wdPCoyOzWWhR66,"It’s very difficult to focus when you are home and you have kids,",Rise in diagnoses is prompting more US adults to ask: ‘Do I have ADHD?’,AP News,,
1SFoDUZIPuYxy7PekOEK,Rwanda decided to assert itself.,Could a rebellion in eastern Congo widen into a regional war?,AP News,,
1deE2OAgPFKx9RBuC9ul,"He should evacuate us from here and take us to America, we were promised that we would be taken to America, and please honor that promise.",They helped US order airstrikes against Taliban. Now Trump’s moves have left those Afghans in limbo,AP News,,
1jMPMhq4X6UCjGGKwyov,"The matter of state’s non-compliance with a request of cooperation for arrest and surrender by the court is before the competent chamber,",International Criminal Court opens inquiry into Italy over release of Libyan warlord,AP News,,
1pXVanJYhQeMKNkpG75s,To be dragged through the mud like this is disrespectful.,Trump ally Musk is remaking government - but will they clash?,Unknown Source,,
