quote_id,quote,article_title,source,total_score,emotional_weight,interpretative_space,memorability
addi79qWUoCrgfQysvbs,I'm still alive,The Two-Way,NPR,1,2,2,2
ZZxipqISVw0wLiIDb2j7,"I got a call, and someone said, 'We heard that this was your lifelong dream.' And it is.",Performing Arts,NPR,1,2,2,2
eqFDsg0mOxr9AEsF4TaH,One world one fight,"Bosnian students rally for justice, drawing inspiration from anti-graft struggle in Serbia",AP News,1,2,2,2
F7UNur6i9gYGDXB4Y3Ip,"I don't know how to put it into words,",NewsNews,BBC,1,2,2,2
RjdzXaOLBvaTAIQ5elBi,This is the moment we were made for.,Volunteers are now tracking what’s already been lost in the USAID freeze,AP News,1,2,2,2
ANIUi2YriJw22456XOW4,"drawing a line in the sand,",Could a rebellion in eastern Congo widen into a regional war?,AP News,1,2,2,2
UD1l3WVa7eVPxgVr63CK,warning signal,"Hamas says it will delay the release of more hostages, putting Gaza ceasefire at risk",AP News,1,2,2,2
BIzmGOaNJUaNEPHZv4I1,think much of it,Moment victim's family attacks murder suspect in court,Unknown Source,1,2,2,2
KWHYM5EItXwIPDRVX8aL,His body is not whole anymore. Throw him into the river or burn what’s left of him and find your peace.,Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,0.8333333333,2,1,2
SUGcruGa0VolESstGFic,many people were standing and lots of people were starting to stand up,Trial witness identifies Rushdie stabbing suspect as being responsible,BBC,0.8333333333,2,1,2
AD2Nyp1R2cetobQYhvtE,without limitations,Colombia’s interior minister resigns as cracks deepen in President Petro’s coalition,AP News,0.8333333333,1,2,2
Eqit5KPjgiyNWbRcbirU,"Sometimes I feel at ease, but then I wonder, why did this happen?",Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,1,2,2,2
R2YE8of25pfWwjnAmfhD,I felt no disgust or fear.,Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,1,2,2,2
38YLfzc3ggTqfeAXEmXb,building a permanent place,NewsNews,BBC,1,2,2,2
6JMeHjJ1e2ZBBk2rdrYv,tangible and significant consequences,Trump signs order imposing sanctions on International Criminal Court over investigations of Israel,AP News,0.8333333333,2,2,1
HleIOXlHVcWs8TxfgBQa,"No, it’s not good enough,",Trump says he is serious about Canada becoming 51st state in Super Bowl interview,AP News,0.6666666667,1,2,1
ZtbIliZ2VNA1Ijhk8gD2,a more uncertain reality,Europe,NPR,0.8333333333,2,2,1
iJ9cn80DsEHHDTGByDuE,"No one can kill a spirit, so you remain alive.",Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,1,2,2,2
